group,name , code
,Sisteme të informacionit të pasagjerëve,48813000-0
,Borde buletinesh elektronike,48813100-1
,Sisteme informacioni pasagjerësh në kohë reale,48813200-2
,Sisteme informacioni mjekësore,48814000-7
,Sisteme informacioni infermierie,48814100-8
,Sisteme informacioni për administrim pacientësh,48814200-9
,Sisteme menaxhimi teatrosh,48814300-0
,Sisteme informacioni klinike,48814400-1
,Sisteme të rasteve të ndryshme,48814500-2
,Servera,48820000-2
,Servera rrjeti,48821000-9
,Servera kompjuterikë,48822000-6
,Servera dokumentash,48823000-3
,Servera printer,48824000-0
,Web servera,48825000-7
,Paketa software të ndryshme dhe sisteme kompjuterike,48900000-7
,"Paketa software lojrash, tituj familje dhe screen savers",48910000-0
,Paketa software lojrash komjuterike,48911000-7
,Tituj familje,48912000-4
,Screen savers,48913000-1
,Paketa software për automatizim zyrash,48920000-3
,Sisteme automatizimi,48921000-0
,Paketa software trajnimi dhe zbavitje,48930000-6
,Paketa software trajnimi,48931000-3
,Paketa software zbavitje,48932000-0
,Paketa software vizatimi modelesh dhe kalendari,48940000-9
,Paketa software vizatimi modelesh,48941000-6
,Paketa software kalendari,48942000-3
,Sistem lokalizimi varkash dhe adresa publike,48950000-2
,Sistem lokalizimi varkash,48951000-9
,Sisteme adresash publike,48952000-6
,Paketa software dhe drivers,48960000-5
,Drivers etherneti,48961000-2
,Drivers kartash grafike,48962000-9
,Paketa software për print shop,48970000-8
,Paketa software për prodhim librash adresash,48971000-5
,Paketa software për prodhim etiketash,48972000-2
,Gjuhë programimi dhe mjete,48980000-1
,Paketa software kompilimi,48981000-8
,Paketa software menaxhimi konfigurimesh,48982000-5
,Paketa software zhvillimi,48983000-2
,Mjete të ndërfaqes grafike të përdoruesit (gui),48984000-9
,Gjuhë programimi,48985000-6
,Paketa software testimi programesh,48986000-3
,Paketa software debugging,48987000-0
,Paketa software për spreadsheets dhe përmirësime,48990000-4
,Paketa software për spreadsheets,48991000-1
"Produkte bujqësore, blegtorale, peshkimi, pylltarie dhe të lidhura me to","Produkte bujqësore, blegtorale, peshkimi, pylltarie dhe produkte të përafërta
me to",03000000-1
,Produkte bujqësore dhe kopshtarie,03100000-2
,"Produktet bujqësore, produkte kopshtarie komerciale",03110000-5
,Fara,03111000-2
,Fara soje,03111100-3
,Kikirikë,03111200-4
,Fara luledielli,03111300-5
,Fara pambuku,03111400-6
,Fara susami,03111500-7
,Fara mustarde,03111600-8
,Fara perimesh,03111700-9
,Fara frutash,03111800-0
,Fara lulesh,03111900-1
,Duhan i papërpunuar,03112000-9
,Bimë që përdoren për prodhimin e sheqerit,03113000-6
,Panxhar sheqeri,03113100-7
,Kallam sheqeri,03113200-8
,Kashta dhe foragjere,03114000-3
,Kashtë,03114100-4
,Foragjere,03114200-5
,Lëndë të para bimore,03115000-0
,Lëndë të para bimore që përdoren në prodhimet tekstile,03115100-1
,Pambuk,03115110-4
,Jute,03115120-7
,Fije liri,03115130-0
,"Gomë natyrale dhe latex, dhe produkte të shoqëruara me to",03116000-7
,Gomë natyrale,03116100-8
,Latex natyral,03116200-9
,Produkte latex,03116300-0
,Bimë që përdoren në fusha të veçanta,03117000-4
,"Bimë që përdoren në parfumeri ose farmaci, ose për insekticide apo qëllime
të ngjashme",03117100-5
,Bimë që përdoren në parfumeri,03117110-8
,Bimë që përdoren në farmaci,03117120-1
,Bimë që përdoren për insekticide,03117130-4
,Bimë që përdoren për qëllime këpurdhëvrasës apo të ngjashme,03117140-7
,Fara bimësh që përdoren në fusha të veçanta,03117200-6
,Produkte kopshtarie dhe fidanishte,03120000-8
,Produkte kopshtarie,03121000-5
,"Fidane, bulbe, rrënjë dhe prerje",03121100-6
,Lule të prera,03121200-7
,Rregullime me lule,03121210-0
,Pije dhe kultura erëzash,03130000-1
,Kultura pijesh,03131000-8
,Kokrra kafeje,03131100-9
,Shkurre çaji,03131200-0
,Mate,03131300-1
,Kokrra kakaoje,03131400-2
,Erëza të papërpunuara,03132000-5
,Produkte shtazore dhe produkte të përafërta,03140000-4
,Spermë demi,03141000-1
,Produkte shtazore,03142000-8
,Mjalt natyral,03142100-9
,Kërmij,03142200-0
,Produkte të ngrënshme me origjinë shtazore,03142300-1
,Dyll,03142400-2
,Vezë,03142500-3
,Produkte të ndryshme bujqësore,03143000-5
,Furnizime bujqësore,03144000-2
,"Drithëra, patate, perime, fruta dhe arra",03200000-3
,Drithëra dhe patate,03210000-6
,Drithëra,03211000-3
,Grurë,03211100-4
,Durum gruri,03211110-7
,Grurë i butë,03211120-0
,Misër,03211200-5
,Oriz,03211300-6
,Elb,03211400-7
,Thekër,03211500-8
,Tërshërë,03211600-9
,Malt,03211700-0
,Produktet kokërr,03211900-2
,Patate dheperime të thata,03212000-0
,Patate,03212100-1
,Perime të thata leguminoze dhe perime bishtajore,03212200-2
,Perime të thata leguminoze,03212210-5
,Thjerrëza,03212211-2
,Qiqra,03212212-9
,Bizele të thata,03212213-6
,Perime bishtajore,03212220-8
,"Perime, fruta dhe arra",03220000-9
,Perime,03221000-6
,Perime me rrënjë dhe zhardhok,03221100-7
,Perime me rrënjë,03221110-0
,Panxhar,03221111-7
,Karrota,03221112-4
,Qepë,03221113-1
,Rrepa,03221114-8
,Perime zhardhok,03221120-3
,Perime me fruta,03221200-8
,Fasule,03221210-1
,Fasule të gjerë,03221211-8
,Bishtaja,03221212-5
,Fasule spanjolle,03221213-2
,Bizele,03221220-4
,Bizele kopshti,03221221-1
,Mange-tout,03221222-8
,Piper,03221230-7
,Domate,03221240-0
,Kunguj të njomë,03221250-3
,Kërpudha,03221260-6
,Kastravecë,03221270-9
,Perimet me gjethe,03221300-9
,Marule,03221310-2
,Gjethe sallate,03221320-5
,Karçof,03221330-8
,Spinaq,03221340-1
,Perime lakër,03221400-0
,Lakra,03221410-3
,Lulelakra,03221420-6
,Brokoli,03221430-9
,Lakra brukseli,03221440-2
,Fruta dhe arra,03222000-3
,Fruta tropikale dhe arra,03222100-4
,Fruta tropikale,03222110-7
,Banane,03222111-4
,Ananas,03222112-1
,Mango,03222113-8
,Hurma,03222114-5
,Rrush i thate,03222115-2
,Fiq,03222116-9
,Avokado,03222117-6
,Kivi,03222118-3
,Arra kokosi,03222120-0
,Agrume,03222200-5
,Limona,03222210-8
,Portokalle,03222220-1
,Grejpfrut,03222230-4
,Mandarina,03222240-7
,Limes,03222250-0
,Fruta jo-tropikale,03222300-6
,Manaferra,03222310-9
,Rrush i thatë korinti,03222311-6
,Gooseberries,03222312-3
,Luleshtrydhe,03222313-0
,Mjedër,03222314-7
,Boronica të kuqe,03222315-4
,"Mollë, dardha dhe ftonj",03222320-2
,Mollë,03222321-9
,Dardha,03222322-6
,Ftonj,03222323-3
,Frutë me bërthamë,03222330-5
,Kajsi,03222331-2
,Pjeshkë,03222332-9
,Vishnje,03222333-6
,Kumbulla,03222334-3
,Rrush,03222340-8
,Rrush tavoline,03222341-5
,Rrush vere,03222342-2
,Ullinj,03222400-7
,"Farming, gjuetia dhe produktet e peshkimit",03300000-2
,"Peshk, krustace dhe produkte ujore",03310000-5
,Peshk,03311000-2
,Shojzë,03311100-3
,Shojzë deti,03311110-6
,Plaice,03311120-9
,Peshq të familjes së merlucit,03311200-4
,Merluc,03311210-7
,Pollock,03311220-0
,Hake,03311230-3
,Merluc,03311240-6
,Harengë,03311300-5
,Ton,03311400-6
,Merlan,03311500-7
,Sardele,03311600-8
,Salmon,03311700-9
,Krustace,03312000-9
,Oysters,03312100-0
,Butakë,03312200-1
,Jovertebrorë ujore,03312300-2
,Produkte ujore,03313000-6
,Korale ose produkte të ngjashme,03313100-7
,Sfungjer natyral,03313200-8
,Leshterike,03313300-9
,Alga,03313310-2
,Bagëti dhe kafshë të vogla,03320000-8
,Bagëti,03321000-5
,Gjedhë,03321100-6
,Viça,03321200-7
,Bagëti,03322000-2
,Dhen,03322100-3
,Dhi,03322200-4
,Kuajt,03322300-5
,Derra,03323000-9
,Pula të gjalla,03324000-6
,Kafshë të vogla,03325000-3
,Lepuj,03325100-4
,Lepuj te egjër,03325200-5
,Produkte blegtorale,03330000-3
,Qumësht i freskët nga delet dhe dhitë,03331000-0
,Qumësht deleje,03331100-1
,Qumësht dhie,03331200-2
,Lesh dhe qime kafshësh,03332000-7
,Lesh i qethur,03332100-8
,Qime kafshësh,03332200-9
,Qumësht i freskët lope,03333000-4
,Etiketa për veshët e kafshëve,03340000-6
,Etiketa për veshët e gjedhëve,03341000-3
,Produkte drusore,03400000-4
,Dru,03410000-7
,Dru halore,03411000-4
,Dru tropikal,03412000-1
,Dru zjarri,03413000-8
,Dru i papërpunuar,03414000-5
,Dru i butë,03415000-2
,Mbeturina të drurit,03416000-9
,Dru skrap,03417000-6
,Tallash,03417100-7
,Trungje,03418000-3
,Dru i fortë,03418100-4
,Lëndë druri,03419000-0
,Produkte druri,03419100-1
,Dru minierash,03419200-2
,Rrëshirë,03420000-0
,Balsame,03421000-7
,Llak,03422000-4
,Tapë,03430000-3
,Tape natyrale,03431000-0
,Xunkth,03432000-7
,Artikuj shportarie,03432100-8
,Produktet pyjore,03440000-6
,"Bimët zbukuruese, kullosa, myshqe ose likene",03441000-3
,Produkte fidanishte,03450000-9
,Bimë,03451000-6
,Bimëve bedding,03451100-7
,Bulbs lule,03451200-8
,Shkurret,03451300-9
,Pemë,03452000-3
,Tul,03460000-2
,Brumë druri,03461000-9
,Brumë druri kimike,03461100-0
Produkte kimike,Produkte kimike,24000000-4
,Gazra,24100000-5
,Gazra industriale,24110000-8
,"Hidrogjen, argon, gazra të rralla, azot dhe oksigjen",24111000-5
,Argon,24111100-6
,Gazra të rralla,24111200-7
,Helium,24111300-8
,Neon,24111400-9
,Gazra mjekësore,24111500-0
,Hidrogjen,24111600-1
,Azot,24111700-2
,Azot i lëngët,24111800-3
,Oksigjen,24111900-4
,Përbërje inorganike të oksigjenit,24112000-2
,Dioksid karboni,24112100-3
,Oksidet e azotit,24112200-4
,Përbërje inorganike të gazta të oksigjenit,24112300-5
,Ajër i lëngshëm dhe i kompresuar,24113000-9
,Ajër i lëngët,24113100-0
,Ajri i kompresuar,24113200-1
,Ngjyra dhe pigmente,24200000-6
,"Okside, perokside e hidrokside",24210000-9
,"Oksid zinku dhe peroksid, oksid titan, ngjyra dhe pigmente",24211000-6
,Oksid zinku,24211100-7
,Peroksid zinku,24211200-8
,Oksid titani,24211300-9
,"Okside dhe hidrokside kromi, mangani, magnezi, plumbi dhe bakri",24212000-3
,Oksid kromi,24212100-4
,Oksid mangani,24212200-5
,Oksid lead,24212300-6
,Oksid bakri,24212400-7
,Oksid magnezi,24212500-8
,Hidrokside për ngjyra dhe pigmente,24212600-9
,Hidroksid kromi,24212610-2
,Hidroksid mangani,24212620-5
,Hidroksid plumbi,24212630-8
,Hidroksid bakri,24212640-1
,Hidroksid magnezi,24212650-4
,Gëlqere e hidratuar,24213000-0
,"Ekstrakte rrezitjeje, ngjyrosjeje, tanine dhe materiale për ngjyrosje",24220000-2
,Ekstrakte ngjyrosjeje,24221000-9
,Ekstrakte rrezitjeje,24222000-6
,Tanine,24223000-3
,Materiale për ngjyrosje,24224000-0
,Praparate për rrezitje,24225000-7
,Kimikate bazë inorganike dhe organike,24300000-7
,Kimikate bazë inorganike,24310000-0
,"Elementet kimike, acidet dhe përbërje inorganike",24311000-7
,Jometale,24311100-8
,Fosfide,24311110-1
,Karabite,24311120-4
,Hidrure,24311130-7
,Nitrate,24311140-0
,Azide,24311150-3
,Silicide,24311160-6
,Boride,24311170-9
,Sulfur i rafinuar,24311180-2
,Halogjen,24311200-9
,Metale alkali,24311300-0
,Merkur,24311310-3
,"Klorur hidrogjeni, acide inorganike, dioksid silikoni dhe dioksid squfurit",24311400-1
,Acide inorganike,24311410-4
,Acid sulfurik,24311411-1
,Acid fosforik,24311420-7
,Acidet polifosforik,24311430-0
,Acid hekzafluorosilicik,24311440-3
,Dioksid squfuri,24311450-6
,Dioksid silikoni,24311460-9
,Klorur hidrogjeni,24311470-2
,Hidrokside si kimikate inorganike bazë,24311500-2
,Okside metalike,24311510-5
,Sulfure hekuri dhe okside hekuri,24311511-2
,Hidroksid natriumi,24311520-8
,Sodë kaustike,24311521-5
,Sodë e lëngshme,24311522-2
,Komponime të sulfurit,24311600-3
,Sulfur,24311700-4
,Karbon,24311800-5
,Klor,24311900-6
,"Halogjenate metalike; hipoklorite, klorate dhe perklorate",24312000-4
,Halogjenate metalike,24312100-5
,Hekzafluorosilikate natriumi,24312110-8
,Klorureve,24312120-1
,Klorid alumini,24312121-8
,Klorid ferric,24312122-5
,Klorur poli alumini,24312123-2
,Klorhidrat alumini,24312130-4
,Hipoklorite dhe klorate,24312200-6
,Klorit natriumi,24312210-9
,Hipoklorit natriumi,24312220-2
,"Sulure, sulfate; nitrate, fosfate dhe karbonate",24313000-1
,"Sulfure, sulfite dhe sulfate",24313100-2
,Sulfure të ndryshme,24313110-5
,Sulfur hidrogjeni,24313111-2
,Polisulfure,24313112-9
,Sulfate,24313120-8
,Tiosulfat natriumi,24313121-5
,Sulfat ferrik,24313122-2
,Sulfat alumini,24313123-9
,Sulfat natriumi,24313124-6
,Sulfat hekuri,24313125-3
,Gurkali,24313126-0
,"Polifosfate, fosfonate, fosfate dhe fosfinate",24313200-3
,Hekzametafosfat natriumi,24313210-6
,Fosfateve,24313220-9
,Karbonate,24313300-4
,Karbonat natriumi,24313310-7
,Bikarbonat natriumi,24313320-0
,Nitratet,24313400-5
,Kripëra të ndryshme të acideve metalike,24314000-8
,Permanganat kaliumi,24314100-9
,Kripëra acid oxometallic,24314200-0
,Kimikateve të ndryshme inorganike,24315000-5
,"Uji i rëndë, izotopet tjera dhe komponimet e tyre",24315100-6
,"Cianur, oksid cianide, fulminate, cianatet, silikate, perboratet, perborates,
kripërat e acideve inorganike",24315200-7
,Cianure,24315210-0
,Oksid cianide,24315220-3
,Fulminate,24315230-6
,Cianate,24315240-9
,Peroksid hidrogjeni,24315300-8
,Kuarce piezo-elektrike,24315400-9
,Komponime të rralla të metaleve nga toka,24315500-0
,Silikate,24315600-1
,Silikat natriumi,24315610-4
,Borate dhe perborates,24315700-2
,Uje i distiluar,24316000-2
,Gurë sintetike,24317000-9
,Gurë të çmuar sintetike,24317100-0
,Gurë sintetike gjysmë të çmuar,24317200-1
,Kimikateve themelore organike,24320000-3
,Hidrokarburet,24321000-0
,Hidrokarburet e ngopura,24321100-1
,Hidrokarburet aciklike,24321110-4
,Metan,24321111-1
,Etilenit,24321112-8
,Propene,24321113-5
,Butene,24321114-2
,Acetilen,24321115-9
,Hidrokarbure të e ngopura ciklike,24321120-7
,Hidrokarbure të pangopura,24321200-2
,Hidrokarbure të pangopura aciklike,24321210-5
,Hidrokarbure të pangopura ciklike,24321220-8
,Benzol,24321221-5
,Toluen,24321222-2
,O-ksilol,24321223-9
,M-ksilol,24321224-6
,Stirenit,24321225-3
,Etilbenzol,24321226-0
,Derivate të tjera halogjenuara të hidrokarbureve,24321300-3
,Tetrachloroethylene,24321310-6
,Tetrachloride karbonit,24321320-9
,"Alkoolet, fenolet, fenol-alkoolet dhe halogjene, derivatet e tyre nitruara apo
te nitrosaturuara; alkoole yndyrore industriale",24322000-7
,Alkoole yndyrore industriale,24322100-8
,Alkoolet monohydric,24322200-9
,Methanol,24322210-2
,Etanol,24322220-5
,"Diole, polialkoole dhe derivatet e tyre",24322300-0
,Glycol etilenit,24322310-3
,Derivate alkooli,24322320-6
,Fenole dhe derivatet e tyre,24322400-1
,Alkool,24322500-2
,Alkool etilik,24322510-5
,Acide yndyrore monokarboksilike industriale,24323000-4
,Vajra acide nga rafinimi,24323100-5
,Acide karboksilike,24323200-6
,Acid acetik,24323210-9
,Acid peracetic,24323220-2
,Acide të pangopura monokarboksilike dhe komponime,24323300-7
,Estere të acidit metakrilik,24323310-0
,Estere të acidit akrilik,24323320-3
,Acide aromatike polikarboksilik dhe karboksilike,24323400-8
,Përbërje organike me funksione të azotit,24324000-1
,Përbërje organike amine,24324100-2
,Amino-përbërje të oksigjenit,24324200-3
,Ureina,24324300-4
,Përbërje me funksione të azotit,24324400-5
,Përbërje organo-sulfuri,24325000-8
,"Aldehide, ketone, peroksidet organike dhe eteret",24326000-5
,Përbërje me funksione aldehide,24326100-6
,Përbërje me funksione ketone dhe kinone,24326200-7
,Peroksidet organike,24326300-8
,Oksid etileni,24326310-1
,Eteret,24326320-4
,Kimikate organike të ndryshme,24327000-2
,Derivate perimesh për ngjyrosje,24327100-3
,Qymyr druri,24327200-4
,"Vajrat dhe produkte e distilimit në temperaturë të lartë  të katranit të
qymyrit, katran dhe katran tar",24327300-5
,Katran qymyri,24327310-8
,Katran (creosote),24327311-5
,Zift (pitch),24327320-1
,Pitch tar,24327330-4
,Produkte rrëshire,24327400-6
,Finje të mbetura nga pëpunimi i brumit të drurit,24327500-7
,Plehra dhe përbërje të azotit,24400000-8
,Plehra azotike,24410000-1
,Acid dhe kripëra nitrike,24411000-8
,Nitrat natriumi,24411100-9
,Acide sulfonitrike,24412000-5
,Amoniak,24413000-2
,Amoniak i lëngët,24413100-3
,Klorid amoni,24413200-4
,Sulfat amoni,24413300-5
,Plehra fosfatike,24420000-4
,Plehra minerale fosfatike,24421000-1
,Plehra kimike fosfatike,24422000-8
,Plehra kafshësh apo bimore,24430000-7
,Plehra të ndryshme,24440000-0
,Produkte agro-kimike,24450000-3
,Pesticide,24451000-0
,Insekticide,24452000-7
,Herbicide,24453000-4
,Rregullatorë për rritjen e bimëve,24454000-1
,Dizinfektues,24455000-8
,Rodenticide,24456000-5
,Fungicide,24457000-2
,Plastika në forma primare,24500000-9
,Polimeret e etilenit në formë primare,24510000-2
,Polimere propileni në formë primare,24520000-5
,Polimere stireni në formë primare,24530000-8
,Polimere vinili në formë primare,24540000-1
,Polimere të acetatit të vinilit në formë primare,24541000-8
,Polimere akrilike në formë primare,24542000-5
,Poliestere në formë primare,24550000-4
,Poliamide në formë primare,24560000-7
,Resins ure në formë primare,24570000-0
,Amino-resin në formë primare,24580000-3
,Silikone në formë primare,24590000-6
,Eksplozive,24600000-0
,Eksplozive të përgatitur,24610000-3
,Pluhura shtytës,24611000-0
,Karburante propergol,24611100-1
,Eksplozive të ndryshme,24612000-7
,Dinamit,24612100-8
,Tnt,24612200-9
,Nitro-glicerinë,24612300-0
,"Sinjalizues fishekzjarre, raketa shi, sinjale mjegulle dhe artikuj piroteknike",24613000-4
,Fishekë për të trembur zogjtë,24613100-5
,Fishekzjarre,24613200-6
,"Siguresa, kapele, ndezës dhe detonatorë elektrik",24615000-8
,Fine dhe produkte të ndryshme kimike,24900000-3
,Ngjitëse,24910000-6
,Xhelatinë,24911000-3
,Ngjitëse,24911200-5
,Esenca vajore,24920000-9
,Kimikate fotografike,24930000-2
,Pllakate dhe filma fotografike,24931000-9
,Emulsione për përdorim fotografik,24931200-1
,Zhvillues fotografie,24931210-4
,Fiksues fotografike,24931220-7
,Zhvillues me rreze x,24931230-0
,Fiksues me rreze x,24931240-3
,Culture medium,24931250-6
,Intensifikiues imazhesh,24931260-9
,Produkte të specializuara kimike,24950000-8
,Graso dhe lubrifikantë,24951000-5
,Lubrifikantët,24951100-6
,Balta të shpimit,24951110-9
,Graso siliconi,24951120-2
,Lëngje të shpimit,24951130-5
,Aditivë për vajrat,24951200-7
,Pluhur për bombola gazi zjarrfikës,24951210-0
,Agjentë për bombola gazi zjarrfikës,24951220-3
,Mbushje për bombola gazi zjarrfikës,24951230-6
,Lëngje hidraulike,24951300-8
,Agjentë anti-akull,24951310-1
,Praparate anti-ngrirje,24951311-8
,Graso dhe vajra të mdifikuara kimikisht,24951400-9
,Pasta modelimi,24952000-2
,Dyllë dentar,24952100-3
,Agjentë finiture,24953000-9
,Karbon i aktivizuar,24954000-6
,Karbon i ri-aktivizuar,24954100-7
,Karbon i aktivizuar i rigjeneruar,24954200-8
,Wc kimike,24955000-3
,Peptonet dhe substancat proteinike,24956000-0
,Aditivë kimike,24957000-7
,Lidhësit e përgatitur për kallepe ose bërthama fonderie,24957100-8
,"Aditivëve për çimento, mortaja apo betone",24957200-9
,Produkte kimike për industrinë e naftës dhe gazit,24958000-4
,Kimikate të përdorura,24958100-5
,Agjentë flokulante,24958200-6
,Kimikate balte,24958300-7
,Ampula xhel për frenimin e eksplozivëve,24958400-8
,Aerosole dhe kimikate në formë disku,24959000-1
,Aerosol,24959100-2
,Elementet kimike në formën e diskut,24959200-3
,Produkte të ndryshme kimike,24960000-1
,Lëngje për radiator,24961000-8
,Kimikate për trajtimin e ujit,24962000-5
,Produkte anti-korrozioni,24963000-2
,Glicerinë,24964000-9
,Enzima,24965000-6
"Produkte nafte, lëndeëdjegëse, elektriciteti dhe burime të tjera energjie","Produkte të naftës, lëndë djegëse, energji elektrike dhe burime të tjera të
energjisë",09000000-3
,Karburante,09100000-0
,Lëndë djegëse të ngurta,09110000-3
,Qymyr dhe lëndë djegëse me bazë qymyri,09111000-0
,Qymyrguri,09111100-1
,Karburante me bazë qymyri,09111200-2
,Antracit,09111210-5
,Briketa,09111220-8
,Lëndë djegëse fosile,09111300-3
,Karburante të drurit,09111400-4
,Linjitit dhe torfe,09112000-7
,Linjit,09112100-8
,Torfe,09112200-9
,Koks,09113000-4
,Lëndë djegëse të gazta,09120000-6
,"Gazi qymyr, mbetet gazeve gazit ose të ngjashme",09121000-3
,Gaz qymyr ose gazrat të ngjashme,09121100-4
,Gaz i rrjetit publik,09121200-5
,Propan dhe butan,09122000-0
,Gaz propan,09122100-1
,Gaz i lëngshëm propan,09122110-4
,Gaz butan,09122200-2
,Gaz i lëngshëm butan,09122210-5
,Gaz natyror,09123000-7
,Naftë dhe distilate,09130000-9
,Vajguri aviacioni,09131000-6
,Vajguri lëndë djegëse të tipit jet,09131100-7
,Benzinë,09132000-3
,Benzinë pa plumb,09132100-4
,Benzinë me plumb,09132200-5
,Petrol me etanol,09132300-6
,Gaz i naftës së lëngëzuar (lpg),09133000-0
,Naftë,09134000-7
,Karburant diesel,09134100-8
,Naftë për motora diesel,09134200-9
,"Naftë për motora diesel (0,2)",09134210-2
,Naftë për motora diesel (en 590),09134220-5
,Bionaftë,09134230-8
,Bionaftë (b20),09134231-5
,Bionaftë (b100),09134232-2
,Vajra karburanti,09135000-4
,Vajra për ngrohje,09135100-5
,Vajra të djegshme me nivel të ulët sulfuri,09135110-8
,"Naftë, qymyr dhe produkte të naftës",09200000-1
,Përgatitje lubrifikuese,09210000-4
,Vajrave lubrifikuese dhe agjentët lubrifikues,09211000-1
,Vajra motorike,09211100-2
,Vajra për lubrifikim kompresori,09211200-3
,Vajra për lubrifikim turbine,09211300-4
,Vajra ingranazhesh,09211400-5
,Vajra reduktori,09211500-6
,Vajra për përdorim në sistemet hidraulike dhe qëllime të tjera,09211600-7
,Lëngje për qëllime hidraulike,09211610-0
,Vajra për lirim myqesh,09211620-3
,Vajra anti-korrozion,09211630-6
,Vajra izolues elektrike,09211640-9
,Lëngje të frenave,09211650-2
,Vajra të bardhë dhe parafina të lëngshme,09211700-8
,Vajra të bardhë,09211710-1
,Parafinë e lëngshme,09211720-4
,Vajra dhe përgatitje të naftës,09211800-9
,Vajra të lehta,09211810-2
,Vajra minerale,09211820-5
,Vajrave lubrifikante fërkimi,09211900-0
,"Vazelinë, dylle dhe benzina të veçanta",09220000-7
,Vazelinë dhe dyllë,09221000-4
,Vazelinë,09221100-5
,Parafinë,09221200-6
,Dyllë nafte,09221300-7
,Mbetje të naftës,09221400-8
,Benzina të veçanta,09222000-1
,Terpentinë minerale,09222100-2
,Petroleum (bruto),09230000-0
,Naftë dhe produkte që lidhen me qymyrin,09240000-3
,Bituminoze ose rreshpe nafte,09241000-0
,Produkte që lidhen me qymyrin,09242000-7
,Vajguri,09242100-8
,"Energji elektrike, ngrohje, energji diellore dhe bërthamore",09300000-2
,Elektricitet,09310000-5
,"Avull, ujë të ngrohtë dhe produkte të lidhura me to",09320000-8
,Ujë i nxehtë,09321000-5
,Avull,09322000-2
,Ngrohje qendrore,09323000-9
,Ngrohje me distancë të madhe,09324000-6
,Energji diellore,09330000-1
,Panele diellore,09331000-8
,Kolektorë diellore për prodhimin e nxehtësisë,09331100-9
,Module diellore fotovoltaike,09331200-0
,Instalime diellore,09332000-5
,Lëndë djegëse bërthamore,09340000-4
,Uranium,09341000-1
,Plutonium,09342000-8
,Materiale radioaktive,09343000-5
,Radio-izotope,09344000-2
"Produkte të minierave, metaleve bazike dhe të lidhura me to","Produkte minerale, metale bazë dhe produkte të përafërta",14000000-1
,Rërë dhe baltë,14200000-3
,"Zhavorr, rërë, gurë zëgrimcuar dhe agregate",14210000-6
,Rërë,14211000-3
,Rërë natyrore,14211100-4
,"Granula, çakëll, pluhur guri, gurë zalli, zhavorr, gurë të thyer dhe të grimcuar, përzierje guri, përzierje rërë-zhavorr dhe agregate të tjera",14212000-0
,Gurë zalli dhe zhavorr,14212100-1
,Gurë zalli,14212110-4
,Zhavorr,14212120-7
,Agregate,14212200-2
,Përzierje rërë-zhavorr,14212210-5
,Gurë të thyer dhe të grimcuar,14212300-3
,Çakëll,14212310-6
,Granit i grimcuar,14212320-9
,Basalt i grimcuar,14212330-2
,Llaç,14212400-4
,Shtresë e punueshme,14212410-7
,Taban,14212420-0
,Granil,14212430-3
,"Asfalt, çakëll dhe rërë bitumi",14213000-7
,Asfalt bitumi,14213100-8
,Çakëll bitumi,14213200-9
,Rërë bitumi,14213300-0
,Balta dhe kaolinë,14220000-9
,Argjilë,14221000-6
,Kaolinë,14222000-3
,Minerale kimike dhe plehëra,14300000-4
,Minerale plehu,14310000-7
,"Kalcium natyror, fosfat kalciumi alumini dhe kripëra kaliumi natyrore të
papërpunuara",14311000-4
,Kalcium natyror,14311100-5
,Fosfate alumin kalcium,14311200-6
,Kripëra kaliumi natyrore bruto,14311300-7
,Sulfure hekuri,14312000-1
,Sulfure hekuri të papjekura,14312100-2
,Minerale kimike,14320000-0
,Kripë dhe klorur natriumi i pastër,14400000-5
,Kripe guri,14410000-8
,Kripa e detit,14420000-1
,Kripë e avulluar dhe klorur natriumi i pastër,14430000-4
,Kripë në shëllirë,14450000-0
,Produkte gurore dhe minerale të ngjashme,14500000-6
,"Gurë të çmuar dhe gjysëm të çmuar, guri shtuf, zmerile, lëndë gërryese
natyrore, minerale të tjera dhe metale të çmuara",14520000-2
,Gurë të çmuar dhe gjysmë të çmuar,14521000-9
,Gure të çmuar,14521100-0
,Pluhur gurësh të çmuar,14521140-2
,Gurë gjysmë të çmuar,14521200-1
,Pluhur gurësh gjysmë të çmuar,14521210-4
,"Diamante industriale, guri shtuf, zmerile dhe lëndë gërryese të tjera natyrore",14522000-6
,Guri shtuf,14522100-7
,Diamante industriale,14522200-8
,Zmeril,14522300-9
,Lëndë gërryese natyrore,14522400-0
,"Produkte që lidhen me minerale, metale të çmuara dhe aliazhe",14523000-3
,Minerale,14523100-4
,Ar,14523200-5
,Argjend,14523300-6
,Platin,14523400-7
,Minerale dhe aliazhe metalike,14600000-7
,Minerale,14610000-0
,Mineral hekuri,14611000-7
,Minerale me ngjyra,14612000-4
,Mineral bakrit,14612100-5
,Mineral nikel,14612200-6
,Mineral alumini,14612300-7
,Mineral precious-metalike,14612400-8
,Mineral lead,14612500-9
,Mineral zink,14612600-0
,Mineral tin,14612700-1
,Minerale te uraniumit dhe toriumit,14613000-1
,Mineral uraniumi,14613100-2
,Mineral torium,14613200-3
,Minerale te ndryshme,14614000-8
,Aliazhe,14620000-3
,Aliazhe hekuri,14621000-0
,Aliazhe hekuri jo-ecsc,14621100-1
,Ferro-mangan,14621110-4
,Ferro-krom,14621120-7
,Ferro-nikel,14621130-0
,Çelik,14622000-7
